filename,length,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var,label
hiphop.000004.wav,30000.0,0.36709964,0.086512625,0.23732948,0.0099879755,1503.4469899525757,777827.6338726365,1984.1068736217212,534085.2552756459,3158.0975700827207,4636900.947141373,0.05370186726006192,0.001570892694597932,3.851455e-05,0.038357828,-2.4093002e-05,0.013297004,86.1328125,-119.21135,7071.5386,129.12297,1555.9624,10.2530985,476.69882,18.97461,280.81903,21.643908,255.70247,15.467538,179.98413,1.4242958,152.56468,10.47271,144.26442,-5.9822297,125.02482,5.871849,77.04071,-3.296107,87.269226,3.7886407,89.100174,4.1462517,104.36576,-0.4522742,140.44398,-5.788271,87.084,7.6611466,103.73342,-6.818866,85.73472,5.473437,92.97109,-6.489751,79.78451,4.6297417,72.92689,hiphop
hiphop.000006.wav,30000.0,0.4590161,0.109975636,0.20691702,0.025868682,1624.2367551489504,813409.1479920485,1988.2254261633962,396401.4802094384,3352.3880619013644,4372218.759186676,0.06569839335816563,0.0036188119944913764,1.63165e-05,0.0104896575,5.837456e-05,0.04820477,99.38401442307692,-169.76047,7078.8003,118.50866,1991.5532,-3.9026623,584.2769,13.169803,397.50916,1.8739308,479.2048,5.3917913,380.45956,-2.6486733,275.13525,0.63650787,234.31592,-13.457368,171.07326,1.9953475,163.9993,-0.63491803,236.97572,2.5504115,163.01537,-5.563767,130.9249,8.910547,148.74539,1.5588391,106.40098,1.1790687,87.74224,-2.210794,89.04246,-0.5690872,58.42965,-6.524541,70.87077,6.056697,63.38996,hiphop
hiphop.000007.wav,30000.0,0.4468123,0.09213889,0.22938372,0.020865895,2658.088579649408,837919.1774722193,2335.854983197182,248488.099848491,5192.3769357403735,2774355.825584434,0.14259588755321206,0.007548192944365699,2.4309968e-05,0.016447622,-2.9400313e-05,0.039863054,107.666015625,-62.16885,5994.083,70.88501,1275.7917,-33.127987,1325.4048,26.229462,669.2616,-5.7510285,338.39935,-2.5896742,397.34872,-12.368572,212.47867,0.8046911,218.74274,-7.152738,179.3268,-1.8842134,155.29208,-15.260812,119.60555,3.172776,145.27362,-14.239243,118.662735,3.2105525,126.02017,-9.665088,89.412415,0.28226435,89.774864,-7.0374436,69.76116,-0.8272192,62.895573,-6.9595866,64.92692,-1.0479151,62.719597,hiphop
jazz.00000.wav,30013.333333333332,0.34445786,0.08498813,0.046740487,0.0015428542,1503.9322999254405,554590.3474654895,1754.3003588891916,283569.5817742154,2799.366367278132,2685705.4587929985,0.07841653373936582,0.0024458517642570988,-0.00044514594,0.0018131806,-0.00050230627,0.0007540874,123.046875,-252.09982,12157.225,137.90314,1465.4672,-11.12893,731.8261,8.363254,119.988,0.7312537,117.53525,1.5888379,53.209347,-3.731885,56.283455,-4.1349125,38.266983,-5.4992824,43.680332,-2.6316204,37.643982,-3.5324266,43.067963,-3.1432617,59.09873,-1.8463441,43.779278,-0.9992475,41.175583,-2.57927,48.968216,-1.96011,50.278206,-1.5086894,41.0908,0.21448863,55.62529,-1.995491,50.00376,-3.354487,49.878914,jazz
metal.00000.wav,30000.18140589569,0.4877041,0.06745071,0.11605348,0.00030653345,3274.50233695886,268192.5587575601,2722.4884522973516,151273.66571768574,6408.00146824246,1687519.1282076729,0.18301936811194897,0.002186167414544937,0.0003943256,0.0069540846,0.0024365596,0.002323884,95.703125,-52.940304,348.85107,50.09013,196.94159,-11.491269,260.2043,46.324932,222.09177,6.5430007,116.34565,10.116378,81.851776,5.4855285,66.73695,8.844899,65.202774,5.929942,57.59235,6.625154,51.407864,-4.0330343,56.706837,9.778293,54.307533,-3.1172316,53.32109,3.653597,57.85395,-6.502194,49.80674,1.0854731,47.405632,-4.4821963,41.07208,4.7096744,36.599598,-2.755327,44.850826,0.49856457,37.1307,metal
pop.000011.wav,30000.0,0.30167466,0.09636087,0.16638829,0.0050582946,1926.0994627493276,523590.08016279794,2316.147526815126,225788.94753175534,4320.40720842202,2420092.7064169506,0.0669145613631966,0.0018409407223436106,-6.3868124e-06,0.026308257,5.3707085e-05,0.0023629584,184.5703125,-137.95752,5756.701,100.180405,635.57983,5.692703,493.61597,36.522923,294.8586,2.3687985,222.28687,18.094826,188.24385,-0.5796388,188.35718,3.2640169,100.76311,1.1798475,113.01865,-0.90561056,137.18597,-9.41284,65.641365,7.4776764,103.00157,-4.2467904,87.70732,0.94740695,160.70555,-10.471339,60.4409,-2.3562613,97.45393,-13.754632,63.04796,1.6825281,91.16305,-3.8024523,81.49541,-3.6674464,106.66344,pop
pop.000009.wav,30000.0,0.22358139,0.097997,0.106314115,0.009348124,1100.6473210957572,697360.0276684876,1362.8794122618408,649022.5433226161,1886.0052622508708,4391847.317984095,0.05981520897832817,0.0012522631379664913,1.0544992e-06,0.015414661,5.137359e-06,0.0017903064,63.02400914634146,-358.8812,26388.344,102.579445,3591.6443,41.938683,910.3427,13.111112,353.33685,-10.255906,187.08376,-3.6548758,107.03671,-0.8940044,136.25336,4.9977174,127.15511,-14.11108,136.40022,-14.182738,111.13921,-18.597277,56.726177,-12.733181,42.382492,1.7877122,240.48825,20.76958,385.31433,12.573754,404.6053,5.2945614,88.06395,-5.585897,45.990234,-14.29647,119.44796,-19.851934,115.554855,-3.9241028,109.38971,pop
pop.000024.wav,30000.0,0.41115454,0.08750794,0.2325224,0.030713176,1746.9021117041607,1042966.5028196605,1853.1541333786467,569292.2149107953,3562.370125501887,4535250.771405057,0.0837572410748839,0.004561177612580482,-4.3753967e-05,0.04420692,-8.40992e-05,0.024521934,95.703125,-113.26538,7816.6055,124.2659,2797.2488,-3.5634341,811.16797,12.567999,410.57996,-4.6922197,265.57596,8.999167,341.98868,0.87506896,191.3365,10.600981,272.02975,-1.2705837,160.96321,6.292129,92.377846,2.834963,142.61838,2.008806,65.91624,-1.3454064,74.32201,1.9364094,63.149544,-1.8528467,72.03686,6.1656017,103.38096,-8.531423,73.17342,-1.6955657,76.340355,-14.185639,64.83461,0.41983184,96.44577,pop
pop.000028.wav,30000.0,0.3976631,0.09278835,0.29184303,0.024755966,1769.8243379561604,673283.7969186057,2141.792877048333,252462.01810785584,3672.577792424536,2977359.225301108,0.07105663760158669,0.0034585501491085934,8.7443605e-06,0.058256105,-4.3838903e-05,0.020280896,83.35433467741936,-79.01241,7714.2354,115.77044,1307.3094,-2.8604672,645.2826,24.362123,436.8067,4.4350333,233.66624,5.5985465,323.90317,0.092531845,142.44354,5.586575,121.04783,-9.288904,78.83018,6.642454,71.531746,-6.421086,86.60229,3.7316706,64.89581,-4.884782,66.377525,6.7703285,73.37829,-3.8964968,76.09194,1.109885,58.94657,-10.667741,66.09363,3.8240385,51.525723,-6.2075076,58.086323,2.638902,54.017162,pop
pop.000000.wav,30000.0,0.27377042,0.09823459,0.08893671,0.0060127666,2092.9508004525474,1338015.031208488,2350.0654051055412,357577.5274401512,4270.932507588767,5873981.796664948,0.08771375532120743,0.007678921834747155,8.7672623e-07,0.010558483,7.734361e-06,0.0015758306,143.5546875,-268.93304,21456.697,95.68601,2194.9226,17.655642,689.37585,11.954209,362.4905,0.4891276,207.45007,4.432761,223.26514,-8.302426,260.05026,-7.0159483,174.0091,-10.041222,137.48483,-3.5316544,117.1764,-6.6118393,185.97282,2.7988594,85.75039,-4.6256185,76.55186,2.7756448,53.58258,-1.8765068,164.51349,4.4057565,91.74975,-6.564598,83.88364,-4.953248,62.271187,-9.973733,101.26306,-2.3750138,87.32483,pop
